Year,WHO region,Country,Alcohol type,Numeric
1986,Europe,Luxembourg,Beer,5.62
1988,South-East Asia,Nepal,Spirits,0
1993,Africa,Gambia,Wine,0.06
1984,Americas,Haiti,Beer,0
1980,Western Pacific,Mongolia,Wine,0
1984,Africa,Nigeria,Other alcoholic beverages,6.1
1987,Africa,Congo,Beer,2.34
1997,Eastern Mediterranean,Somalia,Spirits,0
1984,Americas,Mexico,Spirits,1.56
1993,Europe,Luxembourg,All types,13.74
1988,Americas,United States of America,Beer,5.03
1993,Eastern Mediterranean,Sudan,Other alcoholic beverages,1.84
1997,Europe,Austria,Spirits,2
1982,Western Pacific,Fiji,Spirits,0.15
1994,Europe,Republic of Moldova,Wine,7.77
1990,Africa,Burkina Faso,Beer,0.38
1998,Europe,Finland,Wine,1.73
1993,Europe,Sweden,Spirits,1.86
1983,Western Pacific,Singapore,Beer,1.05
1987,Africa,Comoros,Other alcoholic beverages,
1992,Americas,Colombia,Beer,3.84
1990,Europe,Romania,Spirits,2.86
1995,Americas,Dominica,Other alcoholic beverages,0.05
1999,Eastern Mediterranean,Libya,Wine,0
1998,Americas,Bahamas,Other alcoholic beverages,0
1987,Americas,Panama,Spirits,1.75
1996,South-East Asia,Nepal,Wine,0
1986,Africa,Eritrea,Spirits,0
1999,Africa,Zimbabwe,Beer,0.6
1995,Americas,Panama,Spirits,1.85
1994,Eastern Mediterranean,Somalia,Wine,0
1982,Eastern Mediterranean,Djibouti,Spirits,1.02
1986,Eastern Mediterranean,Kuwait,Spirits,0
1998,Europe,France,Spirits,2.75
1980,Africa,Sao Tome and Principe,Beer,0
1982,Americas,Uruguay,Spirits,2.25
1982,Western Pacific,Australia,Other alcoholic beverages,0
1991,Africa,Nigeria,Beer,0.71
1998,Africa,Côte d'Ivoire,Other alcoholic beverages,2.94
1980,Africa,South Africa,Other alcoholic beverages,2.5
1980,Africa,Mali,All types,0.4
1991,Eastern Mediterranean,Jordan,Wine,0
1990,Europe,Hungary,Other alcoholic beverages,
1997,Americas,Colombia,Beer,3.99
1992,Eastern Mediterranean,United Arab Emirates,Spirits,3.05
1990,Africa,Burkina Faso,Wine,0.01
1995,Africa,Algeria,Wine,0
1987,Africa,Mauritius,Spirits,1.72
1990,Europe,Ukraine,Beer,1.7
1993,Africa,Swaziland,Other alcoholic beverages,5.6
1993,Americas,Dominican Republic,Other alcoholic beverages,0
1997,Europe,Israel,Other alcoholic beverages,0.04
1998,Africa,Comoros,Wine,0.04
1982,South-East Asia,India,Spirits,1.15
1997,Europe,Kyrgyzstan,Wine,0.26
1996,Africa,Mauritius,Beer,1.92
1991,Africa,Mauritius,All types,3.02
1990,Americas,Bahamas,Spirits,7.49
1995,Eastern Mediterranean,Egypt,Beer,0.05
1983,Africa,Mauritius,All types,2.97
1998,Africa,Central African Republic,Other alcoholic beverages,1.26
1990,Africa,Uganda,Spirits,0.19
1981,Americas,Argentina,All types,15.29
1991,Eastern Mediterranean,Afghanistan,All types,0
1991,Europe,Luxembourg,All types,14.26
1987,Europe,Ukraine,Other alcoholic beverages,
1990,Western Pacific,Lao People's Democratic Republic,All types,4.84
1983,Africa,Sao Tome and Principe,Wine,0.49
1996,Americas,Mexico,Wine,0.03
1992,Western Pacific,Marshall Islands,Beer,
1991,Africa,Mauritania,All types,0.06
1984,Europe,Latvia,Wine,2.59
1981,Europe,United Kingdom of Great Britain and Northern Ireland,Wine,1.06
1982,Africa,United Republic of Tanzania,Beer,0.27
1996,Americas,Uruguay,Spirits,1.39
1998,Western Pacific,Malaysia,Spirits,0.16
1990,Americas,Panama,Beer,3.72
1996,South-East Asia,Bhutan,Other alcoholic beverages,0
1982,Western Pacific,Republic of Korea,Other alcoholic beverages,10.71
1990,South-East Asia,Myanmar,Wine,0
1990,Africa,Madagascar,Other alcoholic beverages,
1980,Americas,Canada,Beer,5.21
1988,Europe,Sweden,Beer,3.39
1987,Africa,Guinea-Bissau,All types,2.46
1982,Americas,Panama,All types,5.09
1997,Eastern Mediterranean,Iran (Islamic Republic of),All types,0
1991,Europe,Iceland,Wine,0.72
1997,Western Pacific,Republic of Korea,Other alcoholic beverages,2.86
1991,Americas,Panama,Spirits,1.89
1991,Eastern Mediterranean,Morocco,Spirits,0.06
1987,Europe,France,Spirits,2.77
1990,Americas,Suriname,All types,4.27
1998,Africa,Botswana,Spirits,0.64
1993,Americas,Guyana,Other alcoholic beverages,0
1990,Europe,Azerbaijan,Other alcoholic beverages,0
1995,Europe,Kazakhstan,Beer,0.46
1988,Europe,Slovakia,Wine,2.07
1988,Eastern Mediterranean,Somalia,All types,0
1982,Africa,Benin,Wine,0.15
1986,Africa,Zimbabwe,Other alcoholic beverages,1.39
1980,Eastern Mediterranean,Libya,All types,0
1980,Eastern Mediterranean,Bahrain,Wine,0.21
1992,Europe,Bulgaria,All types,10.15
1997,Western Pacific,Tonga,Beer,0.3
1995,South-East Asia,Timor-Leste,Wine,0.05
1991,Americas,Guatemala,Other alcoholic beverages,0
1991,Africa,Ethiopia,Wine,0
1994,Americas,Honduras,Other alcoholic beverages,
1983,Western Pacific,Lao People's Democratic Republic,Wine,0
1994,South-East Asia,Bangladesh,Beer,0
1983,Africa,Madagascar,All types,1.44
1992,Africa,Comoros,Wine,0.1
1986,Europe,Ukraine,Spirits,2.04
1991,Western Pacific,Samoa,Wine,0.04
1989,Africa,Burkina Faso,All types,3.99
1995,Europe,Turkmenistan,Spirits,0.87
1995,Europe,Netherlands,Spirits,2.13
1985,Western Pacific,Brunei Darussalam,Spirits,0.48
1986,Africa,Comoros,Spirits,0.02
1988,Americas,Saint Kitts and Nevis,All types,4.26
1992,Europe,Greece,Spirits,3.23
1991,Africa,Democratic Republic of the Congo,All types,2.11
1982,Africa,Swaziland,All types,6.8
1986,Europe,Czech Republic,Spirits,4.43
1988,South-East Asia,Sri Lanka,All types,0.17
1999,Africa,Mauritius,Spirits,1.13
1994,Europe,Slovakia,Wine,1.99
1994,Africa,Sierra Leone,All types,4.17
1992,Africa,Swaziland,Spirits,0.89
1986,Americas,Argentina,All types,12.89
1986,South-East Asia,Indonesia,Other alcoholic beverages,
1999,Americas,Saint Vincent and the Grenadines,All types,6.73
1997,South-East Asia,Myanmar,Wine,0
1989,Europe,Luxembourg,Beer,5.51
1991,Africa,Côte d'Ivoire,All types,4.36
1995,Eastern Mediterranean,Yemen,All types,0.17
1991,Eastern Mediterranean,Qatar,Wine,0
1991,Americas,Dominican Republic,Spirits,3.35
1995,Americas,Ecuador,Other alcoholic beverages,
1996,Europe,Greece,Wine,4.47
1992,Western Pacific,Republic of Korea,Other alcoholic beverages,3.27
1994,Americas,Peru,Spirits,2.58
1984,Europe,Finland,Other alcoholic beverages,2.07
1988,Western Pacific,Australia,Spirits,1.7
1999,Africa,Guinea-Bissau,Wine,0.4
1997,Europe,Croatia,All types,13.21
1982,Africa,United Republic of Tanzania,Spirits,0.15
1980,Europe,United Kingdom of Great Britain and Northern Ireland,Spirits,2.24
1985,Americas,Mexico,Spirits,1.54
1990,Africa,Lesotho,Beer,1.05
1993,Europe,Albania,Spirits,0.32
1981,Western Pacific,Australia,Spirits,1.58
1980,Africa,Nigeria,Other alcoholic beverages,7.55
1992,Europe,Azerbaijan,All types,4.31
1990,Western Pacific,Cambodia,Beer,0.02
1982,Africa,Burundi,Beer,2.67
1999,Africa,Benin,Wine,0.12
1985,Eastern Mediterranean,Iran (Islamic Republic of),Beer,0
1980,South-East Asia,Bangladesh,Other alcoholic beverages,0
1988,Africa,Equatorial Guinea,Other alcoholic beverages,0
1996,Africa,Central African Republic,Other alcoholic beverages,1.45
1989,South-East Asia,Sri Lanka,All types,0.14
1984,Africa,Zambia,All types,2.83
1980,Africa,Congo,Beer,2.09
1995,Europe,Croatia,Spirits,1.81
1986,Western Pacific,Cambodia,Wine,0
1991,Western Pacific,Lao People's Democratic Republic,Spirits,4.58
1995,Americas,United States of America,Spirits,2.38
1981,Eastern Mediterranean,Kuwait,Other alcoholic beverages,
1985,Europe,Norway,All types,5.22
1983,Africa,Mauritius,Spirits,1.9
1987,Africa,Mali,Other alcoholic beverages,0.6
1990,Americas,United States of America,Spirits,2.91
1996,Africa,Swaziland,Spirits,0.9
1989,Eastern Mediterranean,Djibouti,Wine,0.27
1994,South-East Asia,Sri Lanka,Spirits,0.14
1984,Eastern Mediterranean,Jordan,Spirits,0.18
1996,South-East Asia,Democratic People's Republic of Korea,All types,5.66
1991,South-East Asia,Timor-Leste,Spirits,0.04
1994,South-East Asia,Thailand,Wine,0.02
1994,Africa,Niger,Wine,0
1995,Eastern Mediterranean,Kuwait,Spirits,0
1999,Europe,United Kingdom of Great Britain and Northern Ireland,Beer,5.25
1986,Americas,Belize,Other alcoholic beverages,0.01
1989,Americas,Colombia,Beer,4.4
1983,Europe,Turkey,Spirits,0.65
1996,Americas,Panama,Spirits,2.16
1992,Western Pacific,Cook Islands,Wine,1.06
1989,Americas,Jamaica,Beer,2.3
1999,Western Pacific,Tuvalu,All types,1.52
1987,Africa,Côte d'Ivoire,Beer,0.34
1987,Americas,Panama,Other alcoholic beverages,0
1993,Europe,France,Beer,2.44
1981,Western Pacific,Viet Nam,Beer,0.09
1998,Eastern Mediterranean,Afghanistan,Spirits,0
1999,Africa,Mozambique,Other alcoholic beverages,0.06
1980,Eastern Mediterranean,Jordan,Beer,0.24
1986,Eastern Mediterranean,Egypt,Other alcoholic beverages,
1992,Americas,Grenada,Other alcoholic beverages,0
1997,Western Pacific,New Zealand,All types,8.29
1989,Americas,El Salvador,All types,1.77
1993,Western Pacific,Viet Nam,Beer,0.16
1994,Europe,Turkmenistan,Spirits,0.36
1994,Western Pacific,Papua New Guinea,Spirits,1.34
1980,Africa,Rwanda,All types,7.33
1987,Americas,Peru,All types,6.69
1993,Africa,Mozambique,Wine,0.1
1980,Europe,Romania,Wine,4.34
1993,Europe,United Kingdom of Great Britain and Northern Ireland,All types,9.45
1994,Africa,Nigeria,Wine,0
1980,Eastern Mediterranean,Morocco,Other alcoholic beverages,0
1995,Eastern Mediterranean,Jordan,Spirits,0.01
1980,Africa,Ethiopia,All types,0.92
1983,Eastern Mediterranean,Iraq,All types,0.68
1982,South-East Asia,Democratic People's Republic of Korea,Other alcoholic beverages,
1996,Africa,Rwanda,All types,7.28
1984,Europe,Belgium,Spirits,2.36
1983,Eastern Mediterranean,Saudi Arabia,Spirits,0.02
1993,Europe,Turkey,Beer,0.68
1988,Europe,Ukraine,Wine,0.94
1982,Europe,Austria,Other alcoholic beverages,
1994,Africa,Cabo Verde,Beer,1.32
1992,Africa,Cameroon,Wine,0.11
1985,Africa,Gambia,All types,1.67
1996,Europe,Albania,Spirits,1.16
1988,Americas,Haiti,Other alcoholic beverages,0
1998,Europe,Slovenia,All types,8.31
1984,Africa,Ghana,Spirits,0.03
1996,Africa,Central African Republic,All types,1.74
1990,Europe,Netherlands,Beer,5.2
1988,South-East Asia,Bangladesh,Beer,0
1990,Africa,Uganda,All types,8.03
1981,Americas,Bolivia (Plurinational State of),All types,4.86
1987,Western Pacific,Philippines,Wine,0.01
1989,Africa,Congo,Spirits,0.13
1989,Western Pacific,Kiribati,All types,0.48
1992,Africa,Angola,Wine,1.22
1983,Europe,Norway,Wine,0.65
1985,Europe,Hungary,Beer,5.92
1991,Africa,Burkina Faso,Spirits,0.01
1995,Europe,Finland,Other alcoholic beverages,1.29
1992,Europe,Kyrgyzstan,All types,4.25
1991,Europe,Czech Republic,Spirits,4.04
1980,Eastern Mediterranean,Yemen,Beer,0.31
1991,Europe,Belarus,Beer,1.92
1986,Europe,Norway,Other alcoholic beverages,0
1982,Eastern Mediterranean,Tunisia,Wine,0.57
1990,Africa,Zambia,Wine,0.01
1989,Americas,Jamaica,Wine,0.06
1992,Africa,Sierra Leone,Spirits,0.02
1993,Europe,Norway,Other alcoholic beverages,0
1989,Europe,Iceland,All types,5.35
1999,Africa,Uganda,Spirits,0.18
1995,Eastern Mediterranean,Somalia,Beer,0
1997,Eastern Mediterranean,Iraq,Spirits,0.04
1995,Africa,Burundi,Wine,0.01
1995,Africa,Burkina Faso,Other alcoholic beverages,4.16
1981,Americas,United States of America,All types,10.45
1999,Eastern Mediterranean,Bahrain,Other alcoholic beverages,0
1989,Africa,Cabo Verde,Spirits,0.56
1985,Americas,Brazil,Spirits,1.93
1992,Europe,The former Yugoslav republic of Macedonia,Beer,2.68
1993,Western Pacific,Papua New Guinea,All types,2.11
1988,Africa,Zambia,Wine,0
1991,Africa,Gabon,Wine,1.93
1982,Western Pacific,Cambodia,Beer,0
1981,Western Pacific,Vanuatu,Beer,1.06
1998,Americas,Cuba,All types,3.71
1980,Americas,Antigua and Barbuda,Other alcoholic beverages,0
1999,Europe,Georgia,Wine,1.87
1989,Europe,Romania,All types,8.67
1991,Europe,Bulgaria,All types,9.47
1992,Western Pacific,Samoa,Beer,1.57
1999,Europe,Czech Republic,All types,14.39
1999,Europe,Latvia,Other alcoholic beverages,0
1989,Eastern Mediterranean,Tunisia,Spirits,0.1
1997,Western Pacific,Viet Nam,Other alcoholic beverages,
1981,Americas,El Salvador,Wine,0.01
1986,Africa,Comoros,Beer,0.01
1982,Eastern Mediterranean,Saudi Arabia,All types,0.33
1999,Eastern Mediterranean,Libya,All types,0.02
1995,Europe,Netherlands,All types,9.8
1992,Americas,Belize,Beer,2.02
1991,Europe,Sweden,Beer,3.74
1986,Eastern Mediterranean,Kuwait,Wine,0
1992,Europe,Russian Federation,Wine,0.5
1984,Africa,Sierra Leone,Beer,0.1
1992,Americas,Grenada,All types,6.29
1995,Eastern Mediterranean,Afghanistan,Beer,0
1984,Western Pacific,Solomon Islands,Other alcoholic beverages,0
1986,Europe,Spain,Wine,6.65
1986,Americas,Guatemala,Beer,0.65
1985,Western Pacific,Kiribati,All types,0.52
1998,Americas,Dominica,Spirits,6.29
1997,Europe,France,Spirits,2.75
1987,Africa,Guinea,All types,0.18
1984,Americas,Uruguay,All types,7.67
1998,Europe,Kazakhstan,Wine,0.36
1985,Africa,Mozambique,Other alcoholic beverages,0
1988,Africa,Burundi,Other alcoholic beverages,5.35
1998,Africa,Madagascar,Beer,0.18
1999,Americas,Honduras,Beer,1.39
1995,South-East Asia,Nepal,Wine,0
1997,Africa,Madagascar,Beer,0.14
1996,Africa,Benin,Spirits,0.54
1982,Americas,Costa Rica,All types,4.65
1986,Americas,Paraguay,Wine,0.36
1982,Eastern Mediterranean,Somalia,Wine,0
1986,Americas,United States of America,Beer,5.07
1997,Europe,Hungary,Spirits,3.76
1981,Africa,Niger,Beer,0.18
1998,Africa,Zambia,Wine,0.01
1989,Africa,Sao Tome and Principe,Spirits,0.01
1998,Western Pacific,Philippines,Wine,0.01
1988,Africa,Rwanda,All types,6.44
1995,Eastern Mediterranean,Lebanon,Beer,0.37
1984,Europe,Bulgaria,Spirits,4.04
1992,Western Pacific,Japan,Other alcoholic beverages,1.96
1982,Europe,Netherlands,Beer,5.2
1983,Europe,Hungary,Wine,4.56
1995,Europe,Portugal,Other alcoholic beverages,0.79
1994,Europe,Azerbaijan,Spirits,0.96
1983,Africa,Gambia,Wine,0.07
1988,Europe,Greece,All types,10.1
1994,Europe,Azerbaijan,All types,1.37
1990,South-East Asia,India,Beer,0.02
1995,Africa,Burundi,All types,8.57
1983,Europe,United Kingdom of Great Britain and Northern Ireland,Other alcoholic beverages,0
1996,Eastern Mediterranean,Lebanon,Beer,0.35
1984,Europe,Cyprus,Spirits,3.07
1992,Africa,Burkina Faso,Other alcoholic beverages,4.44
1986,Americas,El Salvador,Beer,0.9
1983,Americas,Guyana,All types,5.17
1999,Europe,Lithuania,Other alcoholic beverages,0.05
1987,Africa,Mauritius,Beer,1.57
1996,Americas,Guyana,All types,4.21
1985,Americas,Mexico,Beer,2.8
1990,Western Pacific,Papua New Guinea,All types,2.2
1982,Eastern Mediterranean,Egypt,Beer,0.08
1990,Africa,Burkina Faso,Other alcoholic beverages,3.66
1986,Europe,United Kingdom of Great Britain and Northern Ireland,Beer,6.73
1997,Europe,Luxembourg,Spirits,2.71
1998,South-East Asia,Bangladesh,Other alcoholic beverages,0
1980,Africa,Malawi,Other alcoholic beverages,1.18
1997,Africa,Eritrea,All types,1.57
1999,Africa,Togo,Other alcoholic beverages,0.21
1995,Europe,Tajikistan,Beer,0.11
1998,Europe,Slovenia,Spirits,0.35
1991,Africa,Cameroon,Other alcoholic beverages,1.51
1985,Africa,Botswana,Other alcoholic beverages,1.72
1992,Africa,Democratic Republic of the Congo,Beer,0.21
1981,Americas,Costa Rica,Wine,0.06
1991,Eastern Mediterranean,Libya,Spirits,0
1998,Eastern Mediterranean,Egypt,Wine,0.01
1981,Africa,Sierra Leone,Beer,0.25
1988,Western Pacific,Kiribati,Wine,0.02
1982,Africa,Comoros,Spirits,0.03
1980,Eastern Mediterranean,Oman,All types,0.29
1982,Western Pacific,Japan,All types,6.88
1992,Americas,Antigua and Barbuda,Other alcoholic beverages,0
1995,Americas,Costa Rica,Other alcoholic beverages,0.02
1991,Europe,Croatia,Spirits,4.39
1999,Western Pacific,Cook Islands,Spirits,0.46
1989,Africa,Democratic Republic of the Congo,Spirits,0.01
1987,Eastern Mediterranean,Afghanistan,Wine,0
1985,Eastern Mediterranean,Yemen,All types,0.28
1991,South-East Asia,Bangladesh,Spirits,0
1983,South-East Asia,Sri Lanka,Wine,0
1997,Europe,Cyprus,Spirits,3
1996,Eastern Mediterranean,United Arab Emirates,All types,2.68
1998,Europe,Tajikistan,All types,0.45
1985,South-East Asia,Nepal,Other alcoholic beverages,0
1991,Europe,Portugal,All types,13.99
1994,Europe,Turkey,Wine,0.1
1998,Americas,Suriname,All types,7.12
1988,Eastern Mediterranean,Oman,Beer,0.28
1996,Africa,Zimbabwe,Other alcoholic beverages,0.99
1982,Western Pacific,Vanuatu,Beer,0.84
1994,Americas,Dominica,Beer,1.86
1998,Americas,Trinidad and Tobago,Beer,1.61
1987,Africa,Burundi,Wine,0.01
1997,Western Pacific,Brunei Darussalam,All types,0.22
1998,Europe,Croatia,Other alcoholic beverages,0
1999,Eastern Mediterranean,Morocco,Other alcoholic beverages,
1980,Western Pacific,Malaysia,Wine,0.01
1989,Africa,Burundi,All types,8.16
1985,Americas,Belize,Other alcoholic beverages,0.01
1985,Eastern Mediterranean,Djibouti,Other alcoholic beverages,0
1988,Americas,Mexico,Beer,3.16
1989,Europe,Kyrgyzstan,Wine,0.72
1991,Europe,Slovenia,Beer,3.07
1998,Europe,Malta,Other alcoholic beverages,0.07
1995,Americas,Guyana,Spirits,2.64
1992,Eastern Mediterranean,Pakistan,Spirits,0
1983,Western Pacific,Samoa,Wine,0.02
1991,Americas,Argentina,Wine,9.31
1992,Europe,Turkey,Spirits,0.61
1986,Americas,Costa Rica,Beer,0.85
1991,Africa,Botswana,All types,3.55
1990,Africa,Mozambique,Other alcoholic beverages,0.04
1995,Western Pacific,Marshall Islands,Beer,
1994,Europe,Greece,Spirits,3.32
1995,Western Pacific,Cambodia,Wine,0
1995,Africa,Lesotho,Spirits,0.42
1993,Americas,Costa Rica,Spirits,4.74
1988,Americas,Antigua and Barbuda,Other alcoholic beverages,0
1981,Europe,Norway,Wine,0.69
1997,Europe,Germany,Other alcoholic beverages,
1990,South-East Asia,Sri Lanka,Other alcoholic beverages,0
1998,Africa,Eritrea,Beer,0.93
1993,Europe,Azerbaijan,Beer,0.15
1982,Eastern Mediterranean,United Arab Emirates,All types,13.8
1987,Europe,Croatia,Wine,6.58
1989,Africa,Guinea-Bissau,Spirits,0.77
1989,South-East Asia,Thailand,All types,4
1980,Western Pacific,Republic of Korea,Wine,0
1998,Europe,Austria,Wine,4.3
1999,Western Pacific,Philippines,Wine,0.01
1984,Americas,Mexico,All types,4.38
1983,Eastern Mediterranean,Pakistan,Wine,0
1994,Western Pacific,Samoa,Beer,2.35
1995,Americas,Jamaica,Other alcoholic beverages,0
1986,Western Pacific,Papua New Guinea,All types,1.23
1993,Africa,Namibia,All types,0.2
1985,Americas,Costa Rica,Beer,0.56
1986,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0
1992,Western Pacific,Samoa,All types,2
1988,Africa,Guinea-Bissau,Wine,0.27
1995,Africa,United Republic of Tanzania,Beer,0.36
1985,Europe,Latvia,Beer,1.68
1994,Africa,Niger,Beer,0.01
1983,Americas,Nicaragua,Other alcoholic beverages,0
1982,Eastern Mediterranean,Somalia,Spirits,0
1997,Europe,Albania,Spirits,0.77
1980,Africa,Sierra Leone,Wine,0.02
1996,Europe,Hungary,All types,12.55
1996,Western Pacific,Papua New Guinea,Spirits,1.24
1995,Africa,Equatorial Guinea,Other alcoholic beverages,
1982,Europe,Cyprus,All types,6.99
1993,Europe,Finland,Beer,4.71
1989,Western Pacific,Australia,Wine,2.92
1990,Africa,Nigeria,All types,9.2
1987,Europe,Portugal,Beer,3.36
1987,Western Pacific,Brunei Darussalam,Wine,0.15
1990,Africa,Central African Republic,Spirits,0.03
1981,Western Pacific,Viet Nam,Spirits,0.08
1984,Americas,Antigua and Barbuda,Spirits,3.05
1988,Eastern Mediterranean,Saudi Arabia,Wine,0
1991,Americas,Canada,Wine,1.14
1992,Africa,Zimbabwe,Beer,0.19
1999,Europe,Azerbaijan,All types,1.16
1986,Americas,Mexico,Wine,0.06
1982,Americas,Honduras,Wine,0.01
1989,Europe,Switzerland,Other alcoholic beverages,0.26
1990,Europe,Sweden,Beer,3.66
1981,Africa,Guinea-Bissau,Beer,0.53
1996,Americas,Suriname,Spirits,2.13
1997,Africa,Zimbabwe,Other alcoholic beverages,0.97
1980,Africa,Chad,All types,0.3
1988,Europe,Latvia,Wine,1.14
1986,Eastern Mediterranean,Afghanistan,Wine,0
1991,Africa,Kenya,Spirits,0.86
1989,Europe,Norway,Other alcoholic beverages,0
1988,Western Pacific,Mongolia,Beer,0.18
1994,Americas,Dominica,All types,8.45
1989,Europe,Ireland,Other alcoholic beverages,0.68
1982,Africa,Ethiopia,All types,0.76
1990,Africa,Chad,Wine,0.18
1981,Americas,Peru,Other alcoholic beverages,0
1999,Americas,Bahamas,Wine,1.14
1995,Europe,Albania,Beer,1.01
1999,South-East Asia,Myanmar,All types,0.26
1992,Eastern Mediterranean,Lebanon,Spirits,0.61
1984,Europe,Turkey,Other alcoholic beverages,0
1981,Eastern Mediterranean,Egypt,Wine,0.01
1995,Western Pacific,Solomon Islands,Wine,0.03
1995,Europe,Albania,Other alcoholic beverages,0
1995,Europe,Bosnia and Herzegovina,Spirits,6.6
1992,Americas,Dominica,Other alcoholic beverages,0.06
1985,Europe,Luxembourg,Wine,7.38
1997,Europe,Tajikistan,Beer,0.03
1996,Europe,Norway,Spirits,1.02
1991,Africa,Cameroon,Wine,0.03
1986,Western Pacific,Kiribati,Spirits,0.1
1985,Europe,Norway,Other alcoholic beverages,0
1998,Africa,Malawi,Wine,0.01
1983,South-East Asia,Nepal,All types,0.01
1992,Americas,Bolivia (Plurinational State of),Spirits,1.52
1996,Eastern Mediterranean,Djibouti,Beer,0.26
1993,Europe,Armenia,Spirits,1.26
1988,Americas,Paraguay,Spirits,4.64
1986,Europe,Switzerland,Spirits,2.54
1997,Africa,Eritrea,Wine,0
1983,Americas,Saint Kitts and Nevis,Other alcoholic beverages,0
1999,Europe,Spain,Wine,4.39
1993,Europe,Albania,Beer,0.52
1990,Europe,Albania,Spirits,0.96
1997,South-East Asia,Democratic People's Republic of Korea,Beer,0.36
1986,Africa,Togo,Wine,0.17
1995,South-East Asia,Bangladesh,Beer,0
1998,Western Pacific,Tuvalu,All types,0.98
1994,Western Pacific,Tonga,Spirits,0.32
1993,Americas,Argentina,Beer,2.26
1993,Africa,Mauritius,Beer,1.86
1993,Africa,Malawi,Beer,0.1
1990,Western Pacific,Marshall Islands,Beer,
1997,Eastern Mediterranean,Pakistan,All types,0.03
1992,Europe,Belgium,Spirits,1.47
1994,Africa,Seychelles,Spirits,0.77
1982,Africa,Nigeria,Wine,0.02
1987,Western Pacific,Viet Nam,Spirits,0.05
1997,Western Pacific,Marshall Islands,Other alcoholic beverages,
1998,Europe,Luxembourg,Wine,5.47
1980,Western Pacific,Samoa,Other alcoholic beverages,0
1990,Western Pacific,Marshall Islands,Wine,
1998,Africa,Comoros,Beer,0.02
1992,Africa,Seychelles,Other alcoholic beverages,0.01
1983,Eastern Mediterranean,Somalia,Wine,0.01
1987,Europe,Kyrgyzstan,Spirits,1.59
1984,South-East Asia,Bhutan,Other alcoholic beverages,
1992,Americas,Haiti,Wine,0
1999,Europe,Turkmenistan,All types,1.63
1988,Africa,Togo,All types,2.54
1983,Africa,Niger,All types,0.21
1984,Europe,Israel,Beer,0.98
1996,Western Pacific,Japan,Other alcoholic beverages,1.74
1985,Europe,Italy,Beer,1.37
1984,South-East Asia,India,All types,1.15
1984,Western Pacific,Samoa,Beer,1.56
1991,Americas,Mexico,Beer,3.56
1997,Americas,Saint Vincent and the Grenadines,All types,5.98
1980,Eastern Mediterranean,Pakistan,Other alcoholic beverages,0
1997,Western Pacific,Samoa,Beer,1.24
1988,Americas,Venezuela (Bolivarian Republic of),Wine,0.11
1994,Eastern Mediterranean,Morocco,All types,0.6
1999,Europe,Belgium,Other alcoholic beverages,0
1988,Europe,Luxembourg,Spirits,2.67
1990,South-East Asia,Bhutan,Beer,1.74
1987,Western Pacific,Vanuatu,Beer,0.67
1993,Africa,South Africa,All types,8.82
1988,Americas,Suriname,Wine,0.04
1995,Europe,San Marino,All types,
1994,Africa,Gabon,All types,7.26
1989,Africa,Nigeria,Spirits,0
1985,Africa,Lesotho,Spirits,0.1
1984,Europe,Belgium,Beer,7.79
1990,Americas,Saint Lucia,Beer,2.13
1995,Eastern Mediterranean,Iraq,Spirits,0.05
1981,Western Pacific,Singapore,Other alcoholic beverages,0.09
1984,Eastern Mediterranean,Iran (Islamic Republic of),Wine,0
1996,Europe,France,Wine,8.18
1986,South-East Asia,Myanmar,All types,0.28
1983,Western Pacific,Republic of Korea,Wine,0
1993,Europe,Croatia,Wine,6
1981,South-East Asia,Thailand,All types,5.47
1990,Africa,Madagascar,Spirits,1.18
1985,Africa,Namibia,Spirits,0
1985,Americas,Saint Lucia,Spirits,6.22
1988,Americas,Bahamas,Other alcoholic beverages,0.02
1981,Eastern Mediterranean,Jordan,Beer,0.23
1991,Africa,Mozambique,Wine,0.08
1998,Africa,Mauritius,Beer,2.16
1986,Africa,Uganda,All types,7.47
1981,Americas,Belize,All types,7.99
1990,Americas,Jamaica,All types,3.54
1990,Europe,Romania,Beer,2.89
1999,Western Pacific,Vanuatu,Wine,0.48
1984,Western Pacific,Philippines,Wine,0
1990,Africa,Angola,Beer,0.64
1989,Americas,Paraguay,Other alcoholic beverages,0
1985,Africa,Democratic Republic of the Congo,Spirits,0.01
1994,Europe,Poland,Spirits,4.95
1994,Western Pacific,Papua New Guinea,Other alcoholic beverages,0
1993,Africa,Equatorial Guinea,All types,5.84
1980,Europe,Slovakia,Beer,7.82
1986,Europe,Malta,All types,5.33
1998,Americas,Ecuador,Spirits,0.35
1993,Americas,Suriname,Other alcoholic beverages,0
1987,Americas,El Salvador,All types,2.26
1985,South-East Asia,Bhutan,Wine,0
1995,Western Pacific,Vanuatu,Wine,0.69
1996,Western Pacific,Brunei Darussalam,Wine,0.03
1981,Americas,Belize,Wine,0.16
1997,Western Pacific,Republic of Korea,Wine,0.03
1987,Europe,Slovakia,All types,13.24
1991,Africa,Mauritania,Other alcoholic beverages,0
1991,Americas,Mexico,Spirits,1.29
1992,Africa,Democratic Republic of the Congo,Spirits,0
1991,Europe,Hungary,Wine,4.31
1996,Europe,Republic of Moldova,Wine,4.8
1987,Eastern Mediterranean,Qatar,All types,1.42
1994,Western Pacific,Micronesia (Federated States of),Other alcoholic beverages,0
